variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
file_working_nrh_sci_csv,Working NRH SCI source CSV,Restricted source CSV imported by preprocessing,Expected local input file at Data/Working NRH SCI.csv,file,,36 ordered fields,,not public,restricted EHR extract,Validated against validation/source_schema.csv and imported in full,must pass the strict public source contract,Contains PHI/PII or restricted clinical data and must not be committed,documented_from_code
file_nrh_sci_raw_dta,Raw Stata intermediate,Generated Stata copy of the imported source CSV,Private intermediate at Data/nrh-sci-raw.dta,file,,local file path,,not public,preprocessing output,Created from Working NRH SCI.csv,generated by preprocessing,Ignored by git,documented_from_code
file_nrh_sci_cleaned_dta,Cleaned Stata analysis dataset,Generated private analysis dataset consumed by paper and supplemental scripts,Private intermediate at Data/nrh-sci-cleaned.dta,file,,local file path,,not public,preprocessing output,Created by variable cleaning and derivation in preprocessing,generated by preprocessing,Ignored by git,documented_from_code
age,Age at inpatient rehabilitation admission,Age at inpatient rehabilitation admission,Patient age at inpatient rehabilitation admission as analyzed in the cleaned dataset,numeric,years,nonnegative numeric,,blank or source missing,source CSV age field,Imported directly; age_decade is derived from this variable,must be nonnegative and nonmissing for included rows,Approved under NRH004-D001,verified
age_decade,Age per decade,Age scaled by 10 for regression models,Primary age covariate for paper models,numeric,decades,nonnegative numeric,,missing if age missing,derived,age / 10,must equal age divided by 10,,documented_from_code
sex,Male sex,Male sex indicator,Descriptive covariate with female as the reference category,binary,,0 or 1,0 = Female | 1 = Male,blank,source CSV sex field,F=0; M and MALE=1; unlisted input rejected,must be 0 or 1 or missing,Female reference category; approved under NRH004-D002,verified
death,Death after discharge,Post-discharge death indicator,Used in survival descriptions and Kaplan-Meier analyses,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV deceased field,Explicit field mapping assigns N=0 and Y=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
rib_fx,Rib fracture,Rib fracture indicator,Pre-rehabilitation injury/course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV ribfracturesyorn field,Explicit field mapping assigns N=0 and Y=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
ptx,Pneumothorax,Pneumothorax indicator,Pre-rehabilitation injury/course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV pneumothoraxyorn field,Explicit field mapping assigns N=0 and Y=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
chest_tube,Chest tube inserted,Chest tube indicator,Pre-rehabilitation injury/course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV chesttubeyorn field,N=0; Y and both approved post-intubation affirmative literals=1; unlisted input rejected,must be 0 or 1 or missing,The current approved allowlist contains no documented unknown literal; NRH004-D003,verified
init_injury_level,Initial reported injury level,Reported cervical injury level before rehabilitation,Used to assess reclassification at rehabilitation admission,categorical,,1-8,1 = C1 | 2 = C2 | 3 = C3 | 4 = C4 | 5 = C5 | 6 = C6 | 7 = C7 | 8 = C8,blank,source CSV injurylevelreportedpriortorehab field,Explicit C1-C8 mapping to the corresponding numeric code; unlisted input rejected,must be an integer from 1 through 8 or missing,NRH004-D004,verified
wean_pre_trach,Attempted wean before tracheostomy,Indicator of an attempted ventilator wean before tracheostomy,Pre-rehabilitation injury/course variable,binary,,0 or 1,0 = N | 1 = Y,blank or documented UNKNOWN,source CSV attempttoweanpriortotrachyorn field,N and NO=0; Y and the documented extubation narrative exception=1; unlisted input rejected,must be 0 or 1 or missing,Narrative exception remains explicit; NRH004-D006,verified
wean_pre_trans,Attempted wean before transfer,Indicator of an attempted ventilator wean before transfer to rehabilitation,Pre-rehabilitation injury/course variable,binary,,0 or 1,0 = N | 1 = Y,blank or documented UNKNOWN or UNKOWN,source CSV attempttoweanoffventpriortotrans field,N=0; Y and the documented night-ventilation narrative exception=1; unlisted input rejected,must be 0 or 1 or missing,Narrative exception remains explicit; NRH004-D006,verified
pneumonia_prior,Pneumonia before rehabilitation,Indicator of pneumonia before inpatient rehabilitation admission,Pre-rehabilitation injury/course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV didpatientdeveloppneumoniapriort field,N=0; Y and YES=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
level,Rehabilitation injury level,Rehabilitation-assessed cervical injury level,Primary injury level measure used in grouping,categorical,,1-8,1 = C1 | 2 = C2 | 3 = C3 | 4 = C4 | 5 = C5 | 6 = C6 | 7 = C7 | 8 = C8,blank or missing compound classification,source CSV asiaclassificationatrehab field,Compound C1-C8 AIS input maps directly to the corresponding level code,must be an integer from 1 through 8 or missing,NRH004-D004 and NRH004-D005,verified
asia_class,AIS classification at rehabilitation admission,AIS classification at inpatient rehabilitation admission,Used to derive motor completeness,categorical,,1-4,1 = AIS A | 2 = AIS B | 3 = AIS C | 4 = AIS D,blank or missing compound classification,source CSV asiaclassificationatrehab field,Canonical AIS A-D map to 1-4; AIA A maps to AIS A and CENTRAL CORD maps to AIS D,must be an integer from 1 through 4 or missing,NRH004-D005,verified
comp_vs_part,Motor completeness group,Complete motor versus partial motor injury group,Primary completeness covariate in models,categorical,,1 or 2,1 = Complete Motor | 2 = Partial Motor,missing if asia_class missing,derived from asia_class,AIS A/B=Complete Motor; AIS C/D=Partial Motor,must be 1 or 2 or missing,NRH004-D005,verified
